id,name,sku,price,currency,variations,quantity,status
55983,تعليقة ذهب ابيض الماس تصميم شوبارد ,,1990,SAR,,50,hidden
55984,تفصيل تعليقة ذهب و الماس تصميم شوبارد ,,1990,SAR,,50,hidden
56002,Teething necklace,,119,SAR,,3,sale
56009,تعليقة و عضاضة الايسكريم ,,90,SAR,,2,sale
56010,تعليقة و عضاضة الكوكيز ,,90,SAR,,3,hidden
56024,خليط ثمرة الدوريان,,175,SAR,,1,sale
56025,خليط ثمرة الدراجون,,175,SAR,,1,sale
56026,خليط جنين التين والزيتون,,300,SAR,,1,sale
56027,خليطثمار البطيخ المر,,225,SAR,,1,sale
56028,خليط ثمرة فاكهة النجمة,,175,SAR,,1,sale
56029,خليط ثمرة الرامبوتان,,175,SAR,,1,sale
56030,خليط جنين القمح,,250,SAR,,1,sale
56031,خليط ثمار المانجستون,,175,SAR,,1,sale
56032,خليط شجرة المورينقا٠,,190,SAR,,1,sale
56033,خليط الزنجبيل والنعناع البري,,175,SAR,,1,sale
